user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
ASK_Plass7,Weekend,10,20,2,0.1776,0.5548,true,-0.1014,-0.0887,false,
ASK_Plass57,Weekday,8,27,2,0.1709,0.4115,true,0.0664,0.2858,false,
ASK_Plass57,Weekday,9,83,2,0.1759,0.0123,false,0.0953,0.3921,true,
ASK_Plass57,Weekday,10,73,2,0.1681,0.0332,false,0.066,0.1815,false,
ASK_Plass57,Weekday,11,53,2,0.2031,0.0258,false,-0.0396,-0.1093,false,
OSL_T_35,Weekday,6,16,2,0.2165,0.4424,true,0.3944,0.3311,true,
OSL_T_35,Weekday,7,25,2,0.2008,0.2671,true,0.2361,-0.1089,false,
OSL_T_35,Weekday,8,57,2,0.1809,0.0489,false,-0.1702,-0.1474,false,
OSL_T_35,Weekday,9,61,2,0.2768,0.0002,false,0.1829,0.1818,false,
OSL_T_35,Weekday,10,25,2,0.148,0.6456,true,0.2559,0.2347,false,
OSL_T_35,Weekday,11,16,2,0.2242,0.3982,true,0.3153,0.2487,true,
OSL_S_KT162,Weekday,1,32,2,0.1049,0.8745,true,-0.385,-0.6054,true,
OSL_S_KT162,Weekday,9,34,2,0.1831,0.2058,true,0.5852,0.3407,true,
OSL_S_KT162,Weekday,10,16,2,0.1906,0.6074,true,0.5671,0.3988,true,
OSL_S_KT162,Weekday,11,21,2,0.1241,0.9035,true,-0.075,0.1169,false,
OSL_S_KT162,Weekday,12,51,2,0.1999,0.0347,false,-0.0987,-0.2028,false,
OSL_S_KT202,Weekend,8,18,2,0.1748,0.6421,true,0.571,0.7296,true,
