user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|TRO_Plass41,Weekday,17,22,1,0.2558,0.1132,true,0.8536,0.5113,true,
norway|TRO_Plass41,Weekday,18,25,1,0.1971,0.2872,true,0.0882,0.1358,false,
norway|TRO_Plass41,Weekday,19,30,1,0.1851,0.2572,true,0.1856,0.1962,false,
norway|TRO_Plass41,Weekday,20,17,1,0.2015,0.4963,true,-0.3473,-0.1484,true,
norway|TRO_Plass41,Weekday,21,19,1,0.0974,0.9938,true,-0.414,0.1596,true,
norway|TRO_Plass41,Weekday,22,24,1,0.1563,0.6023,true,-0.0699,0.0478,false,
kim|KR_283,Weekday,19,21,1,0.1685,0.591,true,0.2989,0.1416,false,
georgia|GT_98345808,Weekday,9,44,1,0.2834,0.0018,false,-0.0747,-0.3728,true,
georgia|GT_98345808,Weekday,10,69,1,0.2721,0.0001,false,0.0051,-0.1103,false,
georgia|GT_74843010,Weekday,11,19,1,0.3426,0.0233,false,0.2625,-0.1737,false,0.1962
georgia|GT_74843010,Weekday,12,22,1,0.2983,0.0402,false,0.1059,0.0661,false,0.2559
norway|BAR_2_Plass12,Weekday,16,19,1,0.2109,0.3679,true,0.1705,0.0158,false,
norway|BAR_2_Plass12,Weekday,18,25,1,0.1714,0.4564,true,0.2491,0.5833,true,
norway|BAR_2_Plass12,Weekday,19,16,1,0.1258,0.9621,true,0.1819,0.4706,true,
norway|BAR_2_Plass12,Weekday,20,15,1,0.1785,0.7265,true,0.1375,0.0286,false,
norway|BAR_2_Plass12,Weekday,21,23,1,0.1363,0.7872,true,0.1802,0.2717,false,
norway|BAR_2_Plass12,Weekday,22,21,1,0.1673,0.6007,true,0.2093,0.1929,false,
norway|TRO_R_Share-12,Weekday,16,19,1,0.2303,0.2669,true,0.4431,0.5649,true,
norway|TRO_R_Share-12,Weekday,20,16,1,0.1718,0.7333,true,0.4267,0.1382,true,
