user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|ASK_Plass23,Weekday,18,34,1,0.1918,0.1652,true,0.3506,0.5897,true,
norway|ASK_Plass23,Weekday,19,36,1,0.2466,0.0255,false,0.5132,0.3062,true,
norway|ASK_Plass23,Weekday,20,30,1,0.2132,0.1317,true,0.2067,0.2811,false,
norway|ASK_Plass23,Weekday,21,42,1,0.2374,0.0179,false,0.3092,0.1243,true,
norway|ASK_Plass23,Weekday,22,38,1,0.1748,0.1976,true,0.0748,0.2141,false,
norway|ASK_Plass23,Weekday,23,15,1,0.194,0.626,true,-0.0496,-0.1519,false,
gist|KR_U186,Weekday,19,27,1,0.1859,0.3098,true,-0.0933,-0.0434,false,
gist|KR_U186,Weekday,20,25,1,0.1354,0.7505,true,0.3756,0.2866,true,
gist|KR_U98,Weekday,16,17,1,0.1111,0.9848,true,0.3452,0.375,true,
gist|KR_U98,Weekday,17,15,1,0.1648,0.8105,true,0.1571,0.0571,false,
gist|KR_U98,Weekday,18,18,1,0.1324,0.911,true,-0.0159,0.126,false,
gist|KR_U98,Weekday,19,16,1,0.1392,0.9163,true,0.1733,0.3647,true,
norway|OSL_T_26,Weekday,12,19,1,0.2247,0.2937,true,0.2096,-0.2598,false,
norway|OSL_T_26,Weekday,17,83,1,0.2891,0.0,false,-0.0172,-0.1067,false,
norway|OSL_T_26,Weekday,18,46,1,0.2041,0.044,false,0.3249,0.4931,true,
norway|OSL_T_26,Weekday,23,19,1,0.3531,0.0177,false,0.281,0.3484,true,
norway|OSL_S_KT140,Weekday,18,25,1,0.2172,0.19,true,0.8931,0.8336,true,
norway|OSL_S_KT140,Weekday,19,15,1,0.1624,0.8243,true,0.1484,0.3821,true,
norway|OSL_S_KT140,Weekday,20,15,1,0.2525,0.2951,true,0.5066,0.3464,true,
norway|OSL_S_KT140,Weekday,21,18,1,0.1443,0.8487,true,0.5177,0.356,true,
